시설명,배너사진,시설설명,평일오픈시간,평일종료시간,주말오픈시간,주말종료시간,디테일사진,"시,도","시,군,구","읍,면,동",동층호,위도,경도,전화번호,분류,분류2,"항목,평일오전,평일오전,주말오전,주말오후*",평점
레몬스크린골프,sgolf6,"강남 최고 시설 연중무휴 24시간 운영
5개 연결룸 VIP2개룸 좌타룸 포함 9개룸 운영중
여성용 클럽비치. 대여 클럽 신제품으로 교체.
풀24시간 운영으로 새벽티오프전 몸풀기 가능.
무료 락카 제공.
자체 일반음식점 운영중. 법인카드 사용가능
대여채, 대여화, 장갑, 티셔츠 등 매일 살균 소독",0:00,23:59,0:00,23:59,"sgolf6_2, sgolf6_3, sgolf6_4",서울특별시 ,강남구 ,대치4동,890-54 풍림아이원 지하 1층,37.5038771,127.0515475,02-522-0753,육상 레포츠,골프,"평일 16:00~00:00 9H#18
평일 16:00~00:00 18H#27
평일 00:00~16:00 9H#13
평일 00:00~16:00 18H#18
주말 9H#13
주말 18H#18",0
종로스크린골프,sgolf7,"평일 주차 3시간무료
주말/공휴일 주차 종일무료
주차 400대 이상 가능한 대형주차장",10:00,5:00,10:00,5:00,"sgolf7_2, sgolf7_3, sgolf7_4",서울특별시 ,종로구 , 종로1.2.3.4가동,24 르메이에르 종로타운 B2,37.5707843,126.9798303,02-2075-7676,육상 레포츠,골프,"평일 10시~17시 9홀#11
평일 10시~17시 18홀#18
평일 17시~24시 9홀#17
평일 17시~24시 18홀#26
주말/공휴일 9홀 #11
주말/공휴일 18홀#18
1일 대실#90",0
스윙파크 골프연습장,golf1,"*공휴일 06:00~21:00
강남 대치동, 도곡동 중심에 위치한 실외 골프연습장 총 36타석이 준비되어 있으며, 6명의 프로골퍼님이 항시 고객님을 맞을 준비를 하고 있습니다. 넓은 주차공간은 물론입니다. 위치는 위치는 (구)청실아파트 단지 옆 또는 대치1동 동사무소와 청암빌라 사이에 위치하고 있습니다. 
골프장의 커피브루어(커피/브런치)를 이용하시기에도 편리합니다.",6:00,22:00,6:00,21:00,"golf1_2, golf1_3, golf1_4",서울특별시 ,강남구 ,대치동 ,647,37.4928558,127.0569285,02-557-7587,육상 레포츠,골프,"회원 1개월#254
회원 3개월#672
회원 6개월#1272
회원 12개월#2272
70분 1회#22
70분 10회#20
주중 데이타임(9AM ~ 5PM )#227
모닝회원 ( Open ~ 9AM )#200
1개월 투어 레슨/쿠폰레슨 10회#363
1개월 레슨프로 레슨/쿠폰레슨 10회#272",0
동도센트리움골프클럽,golf2,"공휴일 23시까지, 마지막주 수요일 휴무.
- 124타석 규모의 대규모 시설과 고급서비스를 갖춘 골프연습장.
- 부대시설 : 천연그린, 벙커연습장, 퍼팅연습장, 레스토랑, 사우나, 헬스장.
- 편의시설 : 대형골프, 스크린골프, 골프의류, 회원권거래소 등.",5:00,0:00,5:00,0:00,"golf2_2, golf2_3, golf2_4",서울특별시 ,구로구 ,오류동 ,118-6,37.4905929,126.8325484,02-2060-0707,육상 레포츠,골프,"1개월#227
3개월#636
6개월#1218
VIP(1년)#2181",0
화랑회관골프연습장,1,"매월 마지막 주 월요일 휴장

노원구 공릉동 51-1 화랑회관 골프연습장은 일반인의 출입이 가능하며 객실 (10실) 및 사우나 이용 가능
*사우나는 연습장 타석표 지참시 1,500원

2층 화랑골프샵
1. 그립교체, 클럽피팅과 리샤프팅, 클럽수리 OK~. 모든 클럽과 용품 결재시 백화점 상품권 (롯데, 현대, 신세계, 농협, 주유권)으로도 결재 OK
2. 사용하지 않는 클럽과 필요한 상품을 보상교환 해 드리며
3. 내 클럽이 가지고 있는 스윙바란스를 무상 체크
4. 라운딩시 필요한 클럽 시타후 무상 대여
5. 인터넷, 팩스, 복사, 부킹 안내, 폰 충전 ~",6:00,22:00,6:00,22:00,"2, 3, 4",서울특별시 ,노원구 ,공릉동 ,1-51,37.622032,127.0896139,02-2197-5981,육상 레포츠,골프,40분#6,0
강서클라이밍센터,1,"강서클라이밍센터는 실내암벽장(인도어클라이밍센터)으로 볼더링, 클라이밍 기초교육 및 동호인들의 운동과 휴식을 제공하는 동네암장입니다. 클라이밍은 타 운동에 비해 운동시간이 짧고 강도가 높다보니 집중력 향상이나 자라는 아이들의 성장판 자극에도 도움이 됩니다. 또한 평상시 쓰지 않는 근육들과 관절들을 고루 사용해 주므로 다이어트에 도움이 되지만 식이요법과 기초운동을 병행하지 않고 클라이밍만으로 다이어트를 생각하면 오히려 부상의 위험이 있습니다. 그래서 경험이 없는 초급자의 경우 강습과정을 건너뛸 수는 없습니다. 그러나 꾸준히 하신다면 균형잡힌 몸매를 가지실 수 있습니다. 
건강한 생활스포츠로서의 클라이밍을 추구하는 공간으로 여러 사람들과의 교류를 통해 보다 넓은 인간관계 형성에도 도움이 됩니다. 
편의시설은 실내에 남녀구분 화장실, 탈의실, 샤워실, 휴게공간, 와이파이 등을 갖추고 있으며, 전면통창에 베란다가 있어 환기나 채광이 좋습니다. 
무엇보다 사진과 같은지, 운동하기는 괜찮은 환경인지 직접 방문하셔서 보시는게 좋을 듯 합니다.
영업시간내 구경은 언제든 환영입니다. 편하게 오셔서 문의하세요.",10:00,23:00,10:00,19:00,"2, 3, 4",서울특별시 ,강서구 ,내발산동 ,646 동서빌딩 4층,37.5581556,126.839103,02-3662-0138,실내 스포츠,실내암벽등반,"일일사용료#18
일일체험(암벽화대여)#27
월사용료#109
3개월사용료(일시결제)#272
6개월사용료(일시결제)#500
12개월사용료(일시결제)#909
초급자 월강습료(사용료와 별도)#72
학생할인 월사용료(대학생포함)#90
초중생 월강습료(주2회강습)#90",0
코알라클라이밍짐,1,"초급반 1개월 - 주2회 1시간, 월 8회
개인강습 10회 - 정기강습시간 제외
체험강습 - 예약제, 암벽화및 초크대여 포함
공휴일휴무

상암에 위치한 클라이밍짐입니다. 즐겁게 운동하면서 다이어트와 탄탄한 몸매까지 얻을 수 있습니다.",10:00,23:00,10:00,18:00,2,서울특별시 ,마포구 ,상암동 ,1605 누리꿈스퀘어빌딩 B1001호,37.5791192,126.8902941,070-7733-4768,실내 스포츠,실내암벽등반,"성인 1개월#100
학생 1개월#81
성인 3개월#272
학생 3개월#218
성인 6개월#436
학생 6개월#381
성인 1년#654
학생 1년#545
일일패스#13
암벽화 대여#2
초급반 1개월 강습비#81
개인강습 10회 강습비#454
체험강습 강습비#22",0
더시크릿 수상레저,d_1,"연중무휴 일출~일몰
초보환영, 수상스키, 웨이크보드 바나나보트, 팡팡, 놀이기구 단체환영 수상레포츠 동호회",9시 00분 00초,6:00:00 오후,9시 00분 00초,6:00:00 오후,"d_2,d_3,d_4",경기도,남양주시,화도읍,구암리98-2,37.666753,127.374593,031-559-1145,수상 레포츠,보트,"수상스키 초보자 (2회) #54 
수상스키 중급자 (1회) #22 
웨이크보드 중급자 (1회) #22 
웨이크보드(스텐드라이브) #22 
웨이크보드(브이드라이브) #27 
바나나보트 #17 
땅콩보트 #17 
바이퍼 #17 
플라이피쉬 #22",0
한터낚시터,c_1,"한터낚시터는수도권에서 교통이 편리한 용인ic에서 10분거리에 위치하고 있으며 자연경관이 아름다운 산세와 맑은 호반에
네덜란드의 풍차마을을 연상케하는 유럽풍 풍차방가로는 최고의시설을 갖추고 가족.연인 그리고 좋은 벗들이 낭만을 느끼며
추억만들기에 아주 좋습니다. ",0:00:00 오전,24:00:00 PM,0:00:00 오전,24:00:00 PM,"c_2,c_3,c_4,c_5",경기도,용인시,처인구,양지면 대대리639-1,37.259618,127.27632,010-5966-2054,수상 레포츠,"낚시, 민물낚시, 바다낚시","방가로이용 2인기준 #18 
방가로이용 3~4인 #27 
낚시요금(남성) #18 
낚시요금(여성,청소년) #9",0
클럽비발디 수상레저,b_1,"가평, 청평에서 가까운 강촌 춘천 클럽비발디 수상레저리조트 방문을 환영합니다.

제대로 물 만났다 BEST WATER & CLEAN WATER
수도권 인접 유일의 명소 남이섬 클럽비발디는 수상레저 밀집지역이 아닌 북한산 상류에 
위치하고 있으며 초보자나 중상급자들의 배움에 있어서 많은 도움이 되는 잔잔한 최적의 물상태를 자랑하는 환경입니다.

서울에서 강촌IC 40분 ONESHOT & SPEED PICK UP
춘천고속도로 개통으로 인해 서울/강촌IC간 40분 가량 소요되는 가까운 거리에 위치하고 있으며 
버스나 전철로 오실 경우 가평터미널과 가평역까지 10분안에 픽업이 가능합니다.

수상레저의 자격 QUALITY & PRIDE
워크샵 및 단체인원이 수용가능한 최대규모의 선착장과 바나나보트, 땅콩보트, 플라이피쉬외 
다양한 수입수상레저 놀이기구를 10여대 이상 보유하고 있으며, 최고의 성능을 자랑하는 고가의 
음향장비가 탑재된 최신형 보트와 웨이크보드, 수상스키장비 또한 다양한 사이즈와 
수입브랜드별로 LIQUIDFORCE, HYPERLITE, RONIX, HO, D3 등 고급장비들로
전국 최다량 준비되어 있습니다.

체계적인 강습프로그램과 안전 INSTRUCT & SAFETY
웨이크보드와 수상스키 강습 또한 시청각교육과 함께 체계적인 강습프로그램을 토대로
수상레저문화를 대중에게 쉽게 다가 갈 수 있도록 코칭스텝 전원이 강습이상의 서비스적인 
마인드와 항상 내가족과 함께 한다는 마음으로 안전을 최우선으로 생각하고 있습니다.

행복한 여행의 시작 HAPPINESS & REST
지친일상은 잠시 내려놓고 편안한 휴식과 자연속의 자유를 만끽 하시길 바랍니다.
아주 특별한 즐거움들이 여러분을 기다리고 있습니다.

가평, 청평에서 가까운 춘천 강촌 클럽비발디 수상레저로 오세요^^",9시 00분 00초,6:00:00 PM+L28E28:Q28E28:L28E28:Q28+N29E28:Q28,10시 00분 00초,20시 00분 00초,"b_2,b_3,b_4",강원도,춘천시,남산면,방하리 372-2,37.77607,127.538884,070-4104-5255,수상 레포츠,"보트, 블록점프, 땅콩, 바나나","블록점프 #18 
땅콩 #18 
팡팡 #18 
밴드웨곤 #18 
빅마마 #18 
바나나 #18
시간제 무제한(13:30~17:00) #72 
시간제 무제한(9:30~17:00) #118 
놀이기구 3종 #40 
놀이기구 4종 #54 
놀이기구 5종 #63 
수상스키 웨이크보드 #22 ",0
화명 수상레포츠타운,a_1,시원하고 짜릿한 부산 해양레포츠!! ,8시 00분 00초,6:00:00 PM+L28E28:Q28E28:L28E28:Q28+N29E28:Q28,10시 00분 00초,20시 00분 00초,"a_2,a_3,a_4",부산광역시,북구,덕천동,815,35.221583,129.001102,051-362-1343,수상 레포츠,"보트, 블록점프, 땅콩, 바나나","블록점프 #18 
땅콩 #18 
팡팡 #18 
밴드웨곤 #18 
빅마마 #18 
바나나 #18
놀이기구 3종 #40 
놀이기구 4종 #54 
놀이기구 5종 #63 
수상스키 웨이크보드 #22 ",0
헬로캠프,1,"독특한 서바이벌 게임 프로그램과 아무도 따라 할 수 없는 독특한 서바이벌 패키지 및 서바이벌 프로그램을 보유하고 있으며, 누구나 편하고 부담 없이 즐길 수 있는 서바이벌 게임과 레포츠 전문 분야의 업체로 열심히 노력하고 생각하는 업체로 발돋움 하겠습니다.
가격은 1인당 가격이며 연중무휴입니다.",0:00,23:59,0:00,23:59,"2, 3, 4",경기도 ,가평군 ,가평읍 ,북한강변로 1045 리버플파크,37.8058606,127.524823,031-582-2127,육상 레포츠,서바이벌게임,"일반필드 서바이벌 20인 이하#22
무인도 모터 보트 서바이벌 20인 이하#27
무인도 래프팅 서바이벌 20인 이상#31
ATV 오프로드 1시간 투어 단체할인#31
ULM 초경량 비행체험 단체할인#31",0
레포니아,1,"행복한 레저생활을 꿈꾸신다면 레포니아와 상의 하세요.
서비스 : 디지털 사진서비스, 30인이상시 현수막 서비스.
추천상품 : 서울 인근 광릉 수목원 게임장.",9:00,20:00,9:00,20:00,"2, 3, 4",경기도 ,포천시 ,영중면 ,금주리 427-1,37.9728688,127.2641118,031-533-6444,육상 레포츠,서바이벌게임,"자동건 150발 3게임#31
자동건 120발 3게임#27
수동건 90발 3게임#22
수동건 60발 3게임#18",0
힐링캠프레저,1,"안녕하세요. 힐링캠프입니다.
저희 힐링캠프는 남녀노소 누구나 즐길 수 있고,
커플, 소규모 단체, 대규모 단체 등 여러 인원에 따라
재미있게 즐길 수 있도록 각종패키지와 레ㅔ저들을 진행하고 있습니다.
완벽한 전문성, 다양한 현장경험, 여러 아이디어등을 바탕으로
각종 모임과 MT/OT, 기업워크샵들에 최적화 되어있습니다.
저희 힐링캠프는 모두가 최선을 다하여
체계적이고 정직한 힐링캠프가 되도록 하겠습니다.
항상 힐링캠프를 찾아주셔서 정말 감사합니다.",9:00,19:00,9:00,19:00,"2, 3, 4",강원도 ,춘천시 ,남산면 ,서백2길 31,37.8088133,127.5740789,010-5446-5546,육상 레포츠,ATV,"서바이벌+사륜바이크#25
서바이벌+카드라이더#22
서바이벌+춘천닭갈비#22
사륜바이크+춘천닭갈비#22
서바이벌+사륜바이크+춘천닭갈비#34
서바이벌+사륜바이크+카트라이더+춘천닭갈비#43
펜션+서바이벌+사륜바이크#40
펜션+서바이벌+카트라이더#38
펜션+서바이벌+춘천닭갈비#38
펜션+사륜바이크+춘천닭갈비#38
펜션+서바이벌+사륜바이크+춘천닭갈비#50
펜션+서바이벌+사륜바이크+카트라이더+춘천닭갈비#59",0
토마토레저파크,1,"ATV
FUN코스 - 연습장체험
심플코스 - 연습장, 강변 또는 산악코스 선택 1
베이직코스 - 연습장, 마을, 오프로드 트랙, 강변코스
레귤러코스 - 연습장, 마을, 산악, 강변코스
익스트림코스 - 상급자 전용 오프로드 코스

서바이벌 게임
타켓체험 - 아동체험용 100발 지급
전술 2게임 - 1게임당 60발 * 2게임 진행 
전술 3게임 - 연습 20발, 1게임당 60발 * 3게임 진행

양궁체험
30분 양궁체험 - 기본교육+30분 이용
1시간 양궁체험 - 기본교육+1시간 이용

가평 최고의 코스를 자랑하며 최신ATV 와 서바이벌장비,양궁장비를 보유하고 있습니다.
개인 및 단체,모임,워크샵 액티비티를 위한 레저업체입니다.
최선을 다해 여과레저의 즐거움을 선사하겠습니다.
대성리역 픽업서비스 또는 대성리펜션 픽업서비스를 제공합니다.",10:00,18:00,10:00,18:00,"2, 3, 4",경기도,가평군 ,청평면 ,모꼬지로 19 황새바위캠프,37.6806597,127.3754642,031-585-9989,육상 레포츠,ATV,"ATV FUN코스#9
ATV 심플코스#13
ATV 베이직코스#18
ATV 레귤러코스#22
ATV 익스트림코스#36
서바이벌 타켓체험#9
서바이벌 전술 2게임#13
30분 양궁체험#9
1시간 양궁체험#18",0
가평역레져,1,"MBC 수목드라마 운빨로맨스 촬영지,KBS2TV생생정보/mbc생방송오늘저녁에 소개될 만큼 산+들+물코스 동시체험할수 있는 가평 유일의 산악ATV 투어전문점 가평역레져입니다.
러블리(초급)/ 레인보우(중급)/ 익스트림(고급)의 산악코스를 팀별 가이드의 안전한 지도하에 
힐링과 재미를 한번에 즐길수 있는 국내 최고 명품코스로 여러분을 모십니다
가성비 높은 곳으로 평가받고 있으며 만족도가 매우 높은 업체입니다.

경춘선 가평 전철역 바로 뒤에 위치하고 있으며 버기카(고카트)와 스쿠터 및 자전거를 구비 하고 있습니다",9:00,18:00,9:00,18:00,"2, 3, 4",경기도,가평군 ,가평읍 ,달전리 627-1,37.8150966,127.508269,010-9616-0081,육상 레포츠,ATV,"베이직코스(물+들+갈대밭코스)#18
산악ATV(초급:운빨로코스)#22
산악ATV(중급:팔로우미코스)#26
산악ATV(상급:익스트림코스)#36
산악ATV(풀코스:레인보우코스)#44
스쿠터 1일간#40
자전거 1시간#4
사륜바이크 자유렌탈 1시간#18",0
가평남이섬ATV,1,"
안녕하세요. 
가평ATV을 찾아주셔서 감사드립니다.
저희 가평ATV는 풍부한 경험을 지닌 강사진으로 안전과 즐거움을 드리기 위해 항상 노력하고 있습니다.
2017년 최신 장비와 자연형 교장을 갖춰 다야한 레저를 즐기실 수 있으며 환상의 즐거움과 추억을 선사해드리겠습니다. ^^",8:00,19:00,8:00,19:00,"2, 3, 4",경기도 ,가평군,가평읍,달전리 603-14,37.8144022,127.5120182,010-3701-2162,육상 레포츠,ATV,"사륜바이크#18
스쿠터대여#13",0
가평레져카트장,1,"1인승 탑승기준 신장 130cm이상
2인승은 미성년자두명 탑승금지(보호자+미성년자 동반 탑승)
휴일 정상영업 합니다. 연중무휴
휴일 전화못받는 경우가 많습니다.
* 영, 유아 탑승가능 (카시트 구비)",9:00,19:00,9:00,19:00,2,경기도 ,가평군 ,상면 ,임초리 377-4,37.770068,127.3704474,031-584-6070,육상 레포츠,카트,"1인승 카트 10분#13
2인승 카트 10분#18",0
더클라임 클라이밍 짐앤샵 홍대점,1,"더클라임 홍대점 입니다.
볼더링 전문 짐 & 샵 입니다.
쾌적한 환경에서 암벽등반을 하실 수 있습니다.",10:00,23:00,10:00,20:00,"2, 3, 4",서울특별시 ,마포구 ,서교동 ,353-5,37.5546741,126.9202533,02-332-5014,실내 레포츠,실내 암벽등반,"체험 강습#27
1일 이용권#18
스타터패키지 1개월 (1개월 자유이용 + 강습 8회)#181
스타터패키지 2개월 (2개월 자유이용 + 강습 16회)#300
1일 이용권(초중고생)#13
정기권(1개월)#118
정기권(3개월)#272
10회권(6개월)#154
평일이용권(17시까지)#90
주말 강습#145
키즈 주말강습#136",0
